y,x,flux,peak,sigx,sigy,ecc,is_star_initial
42.96717790927801,498.08815875747086,110287.0,5086.0,2.31111779683073,2.3100003804433724,0.031092738460234137,False
46.22418776019618,949.692805987363,936292.0,32767.0,2.4074206821019586,2.401979146872418,0.06719766420286197,True
148.15320904213377,1212.2001397364143,950243.0,32767.0,2.402368084580146,2.4112167938042237,0.08559295483755196,True
162.12440310675396,1800.3152637495493,119285.0,5954.0,2.2906084612925395,2.2963626719873806,0.07074820161604517,False
254.3015710860182,1520.436092718913,97871.0,4534.0,2.3070278693095485,2.3091894426537256,0.04325821028588098,False
254.45503183028734,1520.2078686577343,97871.0,4534.0,2.3070278693095485,2.3091894426537256,0.04325821028588098,False
321.6095741868672,1251.5042753742337,950243.0,32767.0,2.471831442013364,2.443307981352498,0.15147821421232494,True
321.5960244253182,1254.4041861475446,941322.0,32767.0,2.387950764007703,2.4434314918690174,0.2118881201922678,True
323.0031186783067,1250.0290871012246,871001.0,32767.0,2.3761094444979673,2.44132006446894,0.2295842696770956,True
324.99807277349635,1251.7970570665784,908606.0,32767.0,2.4134820385218365,2.3668920380424674,0.1955389269849699,True
331.7236502567059,442.6404207675397,838197.0,32767.0,2.367841654532837,2.438719687265694,0.2393377411068818,True
337.6038354017485,1013.9292703581151,214393.0,11087.0,2.167591485923959,2.1995291610605747,0.16979289779552392,False
361.7190997493386,844.3017315990692,76000.0,4165.0,2.2805257433949624,2.3421126725027324,0.2278145473021062,False
393.8988016861717,307.707021274162,24546.0,3209.0,2.4978335190370977,2.505303472017552,0.07716489881608045,False
459.5814084412644,595.5555102760005,80333.0,3937.0,2.285656419950994,2.3436859316707865,0.2211488547213039,False
516.1732444730585,1296.1925012230856,86929.0,4490.0,2.215759947732798,2.259674171307153,0.19618887055705764,False
544.475843014075,1173.950356662711,149301.0,6951.0,2.1247612380916103,2.1819887839676513,0.22752277685992622,False
593.5000692764028,1182.1262178681732,52198.0,2982.0,2.320958732012909,2.3541674123043363,0.16737289638759084,False
598.7428647061507,92.23751087305989,904683.0,32767.0,2.400804016785028,2.418435929702344,0.12053256669376854,True
632.6805300113473,234.8500238873157,903947.0,32767.0,2.3810883229337945,2.3979171468419964,0.11826642626325523,True
632.1079415224551,1186.2238363623608,69122.0,3601.0,2.250035991400226,2.2816183422796708,0.16580881488612115,False
634.6756175929677,237.87728437693056,847046.0,32767.0,2.3493060760446105,2.3028728982496207,0.19783485483234925,True
635.8364202364737,236.5861923013824,843150.0,32767.0,2.318277919159931,2.3312018627807305,0.10515255453100336,True
653.6693834041408,1512.062481104096,75522.0,4100.0,2.2449891796599144,2.277229742038696,0.16767574646350356,False
655.6463135873903,777.9313368351284,174930.0,11242.0,2.098883443601976,2.1621882393508907,0.24020620688402342,False
655.5712341543842,1452.4005342436838,139595.0,8099.0,2.145618332651633,2.1872202901178275,0.19411120864511416,False
701.7430299880394,1126.3079883999017,939843.0,32767.0,2.447671214948982,2.399900524774516,0.19660284581038492,True
706.0919512412389,1069.8468650592013,270055.0,15851.0,2.0208597491677502,2.0524968886154777,0.17490100898216526,False
706.1781643244373,1124.9851407422886,903991.0,32767.0,2.3932396043280484,2.4080900567528047,0.11088629705550651,True
719.5915237649922,1125.6080764928022,66777.0,3569.0,2.3736320662194244,2.555559255227694,0.37055330137160675,False
742.2562093479615,1512.2602861489022,109114.0,6358.0,2.1676851611268813,2.1794844318069937,0.1039147273775194,False
747.7788827128142,1143.7094160469503,932293.0,32767.0,2.3785446109968755,2.488199011397597,0.29359398467817105,True
757.6690254906734,1699.6886520220562,935216.0,32767.0,2.2200214667563665,2.2521641834359705,0.16834536146438986,True
783.8178582455358,1217.7536509485628,947111.0,32767.0,2.4371631838412546,2.3718476830184128,0.22995952392224916,True
784.8992610336082,1220.2651964535187,890472.0,32767.0,2.3724494860975756,2.3831451829729446,0.09463601799474895,True
788.1400360720738,813.6877248104411,103155.0,6354.0,2.169404263624475,2.1628195404158075,0.07785449908170104,False
794.645618236795,1706.315543506653,176509.0,9968.0,2.1533430050272275,2.1606387607640687,0.08210925891251741,False
799.9281458752708,1688.1165052753724,64410.0,3563.0,2.2971263181287043,2.308869205014892,0.1007279193596042,False
806.2571477903343,1099.9153783079569,158836.0,9466.0,2.0785395802149296,2.1067696036291643,0.16315573672368186,False
817.6293861186014,962.7875152143321,736641.0,32767.0,1.9938599077140549,2.059592609415483,0.25062359863420575,True
819.8503932522101,1135.9946003912157,102606.0,6212.0,2.1691042013696458,2.1829278566625874,0.11236164991874519,False
824.2265562998665,1043.766987237794,909616.0,32767.0,2.147056652554713,2.1953973816761536,0.20869453253829698,True
843.391208717349,1159.8168003989222,129762.0,8585.0,2.096132943954436,2.1050414015078793,0.09190221273640618,False
857.3138665003186,1071.8765687272555,122010.0,8092.0,2.1330928010473382,2.122351497584571,0.1002284924927832,False
858.0712633683917,1203.9160279964526,201760.0,13129.0,2.0137733261431987,2.0530294868824432,0.19461902040456647,False
859.6488120626127,677.8979441218676,79397.0,4892.0,2.264629916685427,2.2546722050882604,0.0936738174927341,False
863.821089790416,1389.7223104849609,196233.0,13070.0,2.0680690520313942,2.1001528245375445,0.17412744584077897,False
865.7229071172692,1022.2871215046038,935172.0,32767.0,2.507732028656453,2.3917307523364855,0.30062458104537615,True
885.7428731502253,1143.7314488147974,949857.0,32767.0,2.410990214528972,2.473140937116766,0.22277573416609675,True
918.4716243602423,888.0689694095602,50486.0,2852.0,2.3367294445173514,2.3067800328124513,0.15959117971928471,False
921.9884697757549,1593.2665174016054,860431.0,32767.0,2.169827390085946,2.253112606320537,0.26937456434231144,True
922.7687161863082,1593.9134188305638,856023.0,32767.0,2.2551779242749768,2.186242490748632,0.24535865721576897,True
923.8480311941084,994.5732852224843,73186.0,5090.0,2.2202523925259263,2.202804503558795,0.1251210443576916,False
928.3569020215377,1615.2385081611692,829303.0,32767.0,2.4014441177371393,2.3852557958788747,0.11591683941116894,True
928.0201747818079,449.97467769191,289696.0,14139.0,2.0703890367543165,2.1123677594875434,0.19837017963943301,False
930.2896983484717,1611.6881734121305,799048.0,32767.0,2.417115272083412,2.375720118044157,0.18427806606722885,True
930.0230361596462,1155.872273509285,55607.0,2974.0,2.2783842772563143,2.306283181302297,0.15507252550792408,False
930.8125992615353,1612.6712765460256,911852.0,32767.0,2.3590167606281995,2.35929230293418,0.0152828934818055,True
939.8682958488962,1099.9854081053356,76624.0,4777.0,2.2028663989942894,2.212191867127107,0.0917235277233083,False
949.8261222908802,959.6363528694885,109541.0,6716.0,2.156173139130076,2.175037494307609,0.13141922046115387,False
963.5861940507422,845.7234965256418,49659.0,2935.0,2.3305787836013687,2.330177580367438,0.018554387598827785,False
965.6875401024597,241.83804297117135,132722.0,6905.0,2.1965586050728385,2.2200617505591103,0.14512524799640605,False
999.7472378293397,1391.0418997589716,53655.0,3052.0,2.3116217015366236,2.327222816647902,0.11559652070701495,False
1001.022563579088,1705.5714427376452,24436.0,2172.0,2.5126092935734574,2.5375854904922033,0.13995761625151323,False
1027.6159982119145,627.9790749380769,123260.0,7239.0,2.1498692535111443,2.144150616848264,0.07288971101153466,False
1028.0350602417204,970.1799386103937,211650.0,11739.0,1.9838067030961501,1.9794158117901592,0.06649687222654165,False
1049.9246019413579,1706.0548657374077,68252.0,3533.0,2.2655917297176247,2.2608365635869534,0.0647558515715263,False
1051.9815706862062,1163.2592410424202,850273.0,32767.0,2.049310556143861,2.1003753807649277,0.2191652108944985,True
1052.8069564550756,1162.4300493627427,793775.0,32767.0,2.176246607965745,2.070129675862399,0.3084561783288062,True
1052.5734271140755,1163.7907593253208,823109.0,32767.0,2.1327960067916387,2.0685204321308808,0.24364996977284925,True
1053.227769421964,1163.0352063021828,879838.0,32767.0,2.045530864270659,2.066510415263018,0.14213113657679102,True
1055.7198665043913,851.7673316475828,336728.0,20066.0,1.9551468823827576,1.9604281924759241,0.07335296484570304,False
1055.7293018190064,1190.0458479516358,151310.0,9580.0,2.0448425712495055,2.062111993259108,0.12914767800081375,False
1060.254514866463,297.43126975916476,100754.0,5686.0,2.22847903606584,2.248030917820626,0.13160178452763038,False
1066.7094788316183,1446.240027294405,53544.0,3138.0,2.296566965765902,2.294224511570829,0.04515441534893937,False
1078.324441159002,1148.0988483036233,79774.0,5073.0,2.1861799661929164,2.2033445018976163,0.12457828879881483,False
1085.2680801390145,797.7001186242351,75232.0,4534.0,2.2575102279494974,2.2021266667514143,0.2201458293083342,False
1118.6746256204292,1092.6719281422354,741140.0,32767.0,1.9896740377309405,1.9567500937772593,0.18116565679066293,True
1118.7884038898274,1092.2604013515859,735568.0,32767.0,1.991278159926653,1.9588965430197842,0.1796079212701949,True
1127.9012753423933,1624.5004941152897,51678.0,2974.0,2.303374624064787,2.3062337866607914,0.0497792229720843,False
1133.8992840427347,111.88389516158198,82337.0,4129.0,2.2855012577731517,2.2888644384487624,0.05419016438234229,False
1151.925574197806,1276.0420653748095,309450.0,17525.0,1.942403041289521,1.9440861471195816,0.04160245298807676,False
1244.183790929897,1325.56964682221,163320.0,9496.0,2.100607868930483,2.010938854583216,0.28905389437093737,False
1246.3129163528772,1434.7103766732323,140907.0,10197.0,2.1073849299403777,2.0502909440866826,0.2311940357754712,False
1246.2751845931355,258.47437546380985,847138.0,32767.0,2.19691261992005,2.1342494205614604,0.23713503072315525,True
1286.352661198639,651.6958593744381,217672.0,11996.0,2.1203387452970195,2.0204070378002728,0.3033791210939114,False
1292.4989718563024,1243.9082855012552,130825.0,7240.0,2.121260182163569,2.0625444956701875,0.23365163914134107,False
1315.4628042061977,961.885573095497,472719.0,32767.0,2.001307870412849,1.891469430439069,0.32673304056344915,True
1318.5278935181682,1408.1009132387153,52246.0,3274.0,2.3354473583668884,2.3153755410529695,0.13082422366373267,False
1385.704128080739,1208.1337584406608,128576.0,7709.0,2.0959372436473,2.054122394969065,0.19875321329588444,False
1402.4099594215988,269.41012757610326,174112.0,9599.0,2.170671261460937,2.1842773242636624,0.11144227633116949,False
1411.8407348379653,435.8280863195631,116614.0,6019.0,2.225242232796026,2.178174368122506,0.20458785167356064,False
1437.7840273072034,1144.335635063735,251176.0,13617.0,2.023334937857451,1.935257148553304,0.2918339397242282,False
1437.358791210401,1261.6666640795981,79365.0,5178.0,2.2197534703994872,2.151234061897262,0.24654252686129272,False
1453.7432149459942,1259.3053743508594,84243.0,5708.0,2.191020436164628,2.163561429646463,0.15782260647562207,False
1461.9592675284364,1221.6919654496899,157194.0,9938.0,2.0953912647635002,2.03539582863905,0.23758027678216617,False
1478.4001571986378,751.8413591927674,224353.0,12456.0,2.129956244705666,2.00123102586788,0.3423722671611643,False
1502.3796287357593,1289.877087692247,51363.0,2717.0,2.297475619625196,2.294381056653364,0.05188513045090543,False
