x,y,flux,mag,SNR
98.6736186148222,1.0809411338900947,12542.285492341161,14.754058294674026,52.17750754696642
727.9070718612644,1.8472295507464753,1512.6903485885616,17.050624910051987,6.996030314460108
105.10594866003932,2.5495371640023903,26619.33162682442,13.937007133087443,99.30217953100734
1420.073136433181,3.7188217485231343,16447.32214287871,14.45976200313618,66.22180156449933
1924.2032990309162,12.266148592368353,36822.49456101246,13.584716983266542,128.54159058067634
996.8941762641605,18.4066230827636,2050.564559976441,16.720316382083475,9.429552692991113
989.7350015496999,29.198506155308376,49860.658516418225,13.255604975021944,161.6846092753436
257.0929982333724,42.97373915789498,19.75901363425986,21.760586847737635,0.09287829959594533
1706.3193295303954,49.69989988543579,24956.41252519422,14.007044610423671,94.19503113792172
169.06178869523183,75.79336260208098,3702.525529381077,16.07875484570284,16.736305795537543
1146.0459974512742,82.56129580474567,1345135.9733716045,9.678084531718605,1140.7756082217309
735.6268345223037,85.13112930929528,20502.253212992477,14.220496017580725,79.9618476999743
1143.0834210339008,85.70627409332027,1319372.0768594185,9.699081778875609,1129.4391892639972
737.8431248210841,87.1237184107162,22038.948287756728,14.142022835317633,84.96786559521406
192.85600174535483,108.3343064367074,32925.005007744076,13.706185375779876,117.76673386101533
1960.803352223042,145.9340954155228,18521.39273905484,14.330815897787463,73.34970528275565
1066.7390038191656,160.86471181249732,30611.367581679562,13.785293168990195,111.1486202312443
912.1098478579954,164.35370484173197,15191.165919371251,14.54602223207813,61.79658136394666
1428.103667532073,169.90127861725918,26087.77939796209,13.9589072166089,97.68120449708522
1570.2285821594114,171.859575222965,1437227.662467412,9.606186081191888,1180.4106230757397
1570.1498584769915,174.09214192510103,1440321.6106049141,9.603851307755026,1181.7192187844191
85.61464359209882,179.9965365098985,34259.15327170848,13.66305843748705,121.50615683362602
1770.3997704380345,183.50201872635807,23454.68623621655,14.074425931071657,89.48936460291809
126.15383211904717,198.53307806515224,860.8854112414888,17.662636629430274,4.009550937795718
1118.194114120595,209.00417137733774,21692.730683916285,14.159214438739117,83.84910097612872
1457.5733027998658,220.25260166832282,29299.148173518704,13.83286251472207,107.31634829408341
853.7788873140936,227.37343549335594,116.13658885429226,19.837577335362255,0.5453259206568511
161.87851950016645,232.39974056553962,5941.666598174867,15.565229303005083,26.263680644534624
953.6732088321845,243.93567665347632,16301.878057516251,14.469405899568038,65.71371624106695
1138.3077969091435,266.0881617059448,836.7584738936885,17.693499702066532,3.898200588281557
468.8056087490271,270.3045094474076,41871.69540544844,13.445198634891343,141.86817097910082
1581.8200441767938,289.7199377254936,25415.286186921927,13.987262488983344,95.61498253446396
789.8896648734793,303.35611475766854,27951.27324397092,13.883996010567675,103.31778971209907
1639.6411866915528,326.6041204686263,16128.084747119447,14.4810430079293,65.10514093158945
2046.0935333762122,337.339514957741,65078.65447761553,12.966403587055666,195.93687848528324
915.2737021722015,342.1500483301926,1.224037558966252,24.780513139705047,0.0057548324844511
1228.9657069519494,359.1327180755299,580.6452166794708,18.090222868256415,2.712597164373213
1433.9211056453603,359.84039099060976,28012.244090473694,13.88163024498226,103.50005831411983
941.8799755277817,391.74781833377625,9280.830255840236,15.081032925993497,39.74750238949251
30.15619825849348,399.6311179844431,33582.50815450916,13.684717177806942,119.6164584753602
1435.8021273299028,399.36893419272275,24374.234878310795,14.03267252044207,92.38155948173015
1177.3666722022945,422.11522099775465,10730.160967393449,14.923484407404231,45.35572297704103
689.9850854059993,444.1932315216612,25144.75926467459,13.998881294870403,94.77885448220557
909.9119587760736,450.45861224082506,44735.52228176821,13.373368719889896,149.13957326148574
951.893381907005,452.0187830794286,28966.10859509487,13.84527461366416,106.33431667558791
419.94735811231425,457.6042326987588,24763.22083427653,14.015482173404589,93.59473641633375
1073.1328450105498,462.1562843821859,19540.60511799075,14.272654978803201,76.7748684277309
1204.3248307816443,475.82868711095006,18690.867324930638,14.32092636323407,73.92269245069195
2046.3190844023393,477.00231508503197,197011.83586397694,11.763769204951277,400.27616930809336
1281.1609211693033,482.1465904621422,1625.5807523822389,16.972478629026348,7.5090757446956555
2023.3720775525112,489.6635894372052,23138.042578701923,14.089183460179079,88.48541017421661
1630.695564626483,498.0446257050885,25191.809174066395,13.996851605262286,94.92447890594863
1926.5284480723965,527.2824338516342,26680.82691338516,13.934501786368202,99.48902329474127
1086.442328359675,529.5648673943991,81864.18123289445,12.717265193570892,229.62323160490737
1179.6746672193085,532.4864999646438,59387.84098098437,13.065756157555406,183.60145439320252
588.5662700866658,539.4151256152185,148.46378044761127,19.57094871216895,0.6968717706898185
305.2150096000403,540.4865516661725,19094.820337487792,14.297711058833457,75.28286311574209
1127.462279949282,571.9406822857447,62577.22990275972,13.008959164039311,190.5787158032219
988.1301840258376,581.3524126136947,444533.0439572689,10.880239876526815,635.1950170664385
1716.0477112105812,581.9763244303902,289557.65307854285,11.345662380177775,500.431382328082
128.80874455985813,589.182724843154,12871.46916040196,14.725929698815076,53.395071872030265
919.9097950962589,593.5033634138792,12849.012788569364,14.727825596580121,53.312217551135795
977.9460978158808,594.2301122105483,23881.568404924947,14.054842886566387,90.83629281881923
1116.2102290606756,595.7386715263405,138287.75867028366,12.14804065560603,322.8004402587457
873.2305999700513,598.5047683012059,10495.752620058289,14.947466034910013,44.45809028095553
1736.2933634099334,597.3874538391448,19582.89106244664,14.270307980032218,76.91590954993377
1495.684319650051,617.5222806837398,145111.09528406427,12.095748449670268,332.6014558838481
309.58779068785293,639.452645826841,16826.669651604858,14.435004578606634,67.541807074864
277.0978851465618,642.250932719016,304.16249862641143,18.792235832081595,1.425260957467324
2046.8244612246808,653.1813606066431,3467.758628999225,16.149877847295954,15.712834636916018
821.4285675838039,656.3547022777108,1718.6507429904455,16.9120309246333,7.931124251026077
154.1632399648637,663.4111668141362,1286027.9464927658,9.726873984292085,1114.5969297154452
1067.2399585923304,663.9442635565873,5430.07533579264,15.662985362633744,24.123185000299625
156.4349414206295,666.3577102845325,1343602.1861083528,9.679323245527067,1140.1038665925394
1294.829782861077,673.7608377262808,13205.347473929663,14.698125416656683,54.62341152907847
1197.8958139785404,680.3314289689545,89154.59737394277,12.62464064236417,243.19495412115708
850.2139461625322,681.8385374543394,245.72682442407537,19.023868579460448,1.1521793490267414
1082.7361381530536,684.6757855071702,30017.05479082024,13.8065798051189,109.42021005884142
1922.0275757283878,689.5330351179653,187051.7117582941,11.82009578276789,388.10195107643415
684.2829865035616,695.6287595357445,26640.69393277747,13.936136167293098,99.3671015980934
1249.7631014842248,699.8315685358191,75947.90331420167,12.798710527894741,218.16649913739903
934.2459848549926,701.6456926294679,31150.2626180412,13.766345718973877,112.70566362024266
1874.1738685708947,704.4022008618756,40413.11618892029,13.483694151332488,138.08721082050457
963.1085931813211,714.8377110804504,8323.344377277572,15.199255340295778,35.96402922182171
79.5916488072931,715.0693582503905,87530.45307754434,12.644602058799052,240.22057432241965
1112.5283104241892,716.9647239858523,8013.475798040462,15.240447675928873,34.72572295310226
110.28253792181552,727.3729687267087,13049.551497989278,14.711011036004976,54.05105798690629
1292.188312551168,732.8397748163565,5675.49156847489,15.614991292944765,25.152610046031793
1299.7388088440669,733.9504373447587,17123.782073047158,14.416000769700506,68.57047857284633
2006.285725949557,733.7670815672365,267459.12571983,11.431856448412393,478.2938836918459
1213.2313158070203,739.665117061144,43719.89858317036,13.39830213537975,146.5833382043153
1039.8450784378228,741.8077466576082,1415943.1305308517,9.622385472887899,1171.3687790594943
251.91836947940635,743.2951615089967,16603.994842269556,14.449468525498041,66.76787655295736
1100.5844596432003,752.0569127891727,17707.758725669366,14.379591010163102,70.57926587879207
1006.6794802645194,753.8807540841905,2157.647615226153,16.665048705966846,9.910761077420966
1462.0601387537947,757.9316828428424,1391231.4483465266,9.641501534512722,1160.7830242216114
1301.0035913321935,757.963336990566,14801.42743259394,14.574240999315748,60.40626040689801
1465.337771882577,759.9121919121011,959585.5105132151,10.044790795965564,957.2791188333995
253.4741844770659,762.5146097137911,16798.197586066122,14.436843286819181,67.44299217937996
1060.031738045341,762.3167089108545,13073.992662291583,14.708979407788716,54.140943112585184
316.73721464223314,766.4763212266295,20791.773818510028,14.205271144789553,80.91304867783647
1832.8884163167547,769.295112927367,363.68155318114515,18.598196817165334,1.7030460677764796
2046.1256363848418,771.189065958937,10049.489307742757,14.994640018858638,42.73924924273686
1022.6272305036497,775.1748881749387,2557.5761991563427,16.48042854567182,11.698508275383698
1422.0896369347527,777.9613448819457,187735.41612964612,11.81613447589502,388.94854837364477
1179.4465548817425,783.8674064203443,12273.797594054831,14.77755260724768,51.17960842144678
698.0083624794366,795.7805219565453,71999.51070936941,12.856676137287904,210.2783305904554
1283.2204741840317,801.8168074602204,18557.675385748975,14.328691065763055,73.47249264748443
965.5330678581178,813.4501867782338,102582.72251346183,12.472314447693032,266.8118955282672
955.6455648202732,837.3543492734213,58979.72556647575,13.073243131395213,182.69640661208393
1325.7577606494085,838.0251020818226,60161.61301536355,13.051701320573926,185.30965133717464
477.58950736397423,839.9233163463623,109672.62538300712,12.399754400267906,278.64825439942865
1962.154062935115,845.7920044719332,1186.1495666795026,17.31465136366859,5.505073306219785
1504.3265817980355,849.9141687080024,88497.37295021562,12.632674052920942,241.99462249098102
1117.8767283344382,859.4847655606208,32139.178786198936,13.732413061089336,115.5382295450533
259.7558209372256,864.638274375052,32806.226069377335,13.710109316713453,117.43114214437179
1232.709164172097,863.9340982845273,8421.81143520317,15.186486216707435,36.35608932093031
947.9027010399959,871.2283008047492,12676.600041060241,14.742493029661718,52.675086162383124
