x,y,flux,peak,area
16.365277389257372,1005.9259660022875,31210191.30850116,26956.000000000007,1829
838.8238628920254,198.2069068564894,297425.7979011203,26602.000000000015,103
8.366822966816,7.25557643242143,4803207.864596868,25437.95661840895,538
5.175239823571279,434.8929353429385,225854.17694009078,25285.000000000004,45
714.9532050611732,717.8385356756945,172134.00000000038,24499.499999999993,52
937.3821608404361,471.77096998910656,213889.0000000003,24356.000000000007,62
509.76736610178034,208.49025825742703,223970.14449217985,24347.920074526268,67
898.5221264524796,837.5813151885822,194679.31677528756,23636.913313169745,60
328.7979225146408,842.2438765477839,280724.00000000023,22986.000000000007,71
987.2833284221109,791.0108335788946,115381.99999999991,22340.99999999998,40
670.8971516200223,42.03270093564463,96511.00000000015,22198.000000000007,39
988.029169025215,895.1897878498761,99048.66382059533,21948.61567582948,36
342.58637654982977,861.1439784764165,265755.0000000001,21645.499999999996,74
963.2023661046177,539.422174000574,113914.37392901238,21620.560874777002,49
352.730033609007,837.1645778191324,129954.21684830682,21368.085875277386,70
636.2556835601621,872.4264834184848,104877.14667474356,20102.55840426452,37
790.8371444431928,61.429096483167044,98129.26438536218,20084.317190606198,37
776.9340635898657,735.5620445198513,100786.49999999993,19838.499999999993,69
935.5724572545668,141.2483631237444,101794.49999999933,19472.499999999978,45
888.5212450032702,431.2931838248232,76356.41526835506,18828.529117385373,33
109.93444859681566,255.717811530606,75961.11931961743,18335.907841852157,60
1021.6045945797711,781.6884110656929,3232339.685389943,18151.253638184775,2318
691.1975055986918,159.1561184434367,98460.5,18120.5,39
798.8353823244217,780.17182088932,57752.000000000226,17759.000000000007,30
886.2765767949105,16.51136625265071,82525.00000000015,17478.500000000007,30
851.5708246673091,501.00635790256854,118278.00000000087,17360.00000000002,57
928.3714804682071,889.3082349003727,96630.1895963434,17262.0,45
331.69775891021516,115.02253644909682,63718.99999999986,17120.499999999993,26
814.0209667926267,974.765356171044,58616.50000000012,17064.500000000022,19
1010.2386336691943,4.203469468201473,43821.6351918045,16381.0,23
519.4653986240388,413.42859753789116,76601.0,16152.999999999996,36
728.9996026818972,785.006779240129,40270.00000000013,16142.999999999996,26
886.539268079255,78.04292455778487,63996.00000000029,16016.500000000015,36
841.6816356461918,76.831083912421,57273.999999999985,15481.499999999987,34
507.42572580683657,29.907533430742173,69906.05612224362,15481.092480192134,34
521.8662603495861,503.547493100276,69567.99999999997,15319.0,29
457.91631224825034,1011.0346542451449,44439.00000000003,15098.999999999996,27
758.2494495766848,419.0895884876411,44056.99999999963,14995.999999999978,22
699.0009374055496,64.55945839076233,112335.57040727872,14980.23236212664,73
374.0212620027434,1000.286535823573,37908.00000000016,14834.000000000015,22
262.90152345663506,70.53700588265053,89501.38415926634,14702.825242444558,48
782.3840417608645,638.470991266856,88525.54951344215,14386.006401511968,69
581.459370289546,129.76774119180845,98886.60090065163,14349.908049067697,65
315.93449546003586,675.5848798356925,48371.73506588205,14216.1510560596,27
561.1363398138212,1017.7827497566697,40068.99999999975,14129.99999999997,17
342.2047371437929,790.8167376351129,48848.00000000013,14076.000000000007,26
872.2313896716294,371.16648088676857,418070.5269349506,13942.000000000004,399
402.66549646451324,253.4950748468265,320912.33244978834,13920.538354927401,93
863.3478967515667,875.2434079681785,46760.99999999974,13746.999999999982,29
701.9333061494167,863.7283676998743,76527.14977746291,13671.100082780293,32
948.0403896412446,950.2868960452706,46299.0,13389.999999999996,30
826.4850293571063,326.10250151248476,64895.21405509989,13305.900565546304,30
628.864522754546,106.8298024554601,86664.00000000086,13280.000000000018,38
938.5003806406179,349.8144472146621,52542.99999999993,13225.499999999989,30
861.046784678256,298.6888326592839,47226.99999999998,13123.500000000005,34
457.5248993833452,822.5867203288827,57892.99999999993,13054.499999999996,28
192.29787740391603,90.49477568787745,102152.01845639954,12886.502669851468,88
979.9186585429362,350.2122845388742,38406.0000000002,12883.000000000018,25
633.5341114283201,180.0413553166301,33030.81952480941,12576.912621222296,26
620.1120366480617,0.0,49635.5442277206,12576.79203253152,7
443.853810176072,22.122114762413364,48294.947837994085,12498.51648438273,34
647.9842865966647,201.753106856084,40475.000000000226,12452.000000000002,32
68.15135979852766,310.8332786648705,47109.58708952689,12210.100672481545,29
745.4858481242833,659.4287464916789,50594.00000000034,12153.000000000004,29
